Code,GoogleReviewCount
acad,"21,505"
npsa,88
arch,"28,249"
badl,"15,655"
bibe,"5,885"
bisc,"2,703"
blca,"5,147"
brca,"28,339"
cany,"8,209"
care,"5,129"
cave,"15,796"
chis,"1,921"
cong,"3,600"
crla,"14,180"
cuva,"13,541"
deva,"18,029"
dena,"3,951"
drto,"1,675"
ever,"12,698"
gaar,152
jeff,"12,775"
glba,"3,659"
glac,"18,292"
grca,"60,736"
grte,"20,964"
grba,"2,243"
grsa,"10,318"
grsm,"48,915"
gumo,"3,148"
hale,"10,911"
havo,"12,349"
hosp,"14,952"
indu,"11,160"
isro,487
jotr,"20,613"
katm,274
kefj,"1,664"
seki,"22,332"
kova,78
lacl,128
lavo,"4,165"
maca,"11,276"
meve,"9,875"
mora,"18,124"
neri,"4,412"
noca,"1,429"
olym,"10,123"
pefo,"12,181"
pinn,"4,416"
redw,91
romo,"25,477"
sagu,"7,714"
shen,"16,990"
thro,"7,725"
viis,"1,670"
voya,"1,116"
whsa,"16,174"
wica,"3,596"
wrst,895
yell,"41,478"
yose,"50,125"
zion,"42,160"
